t, hares(x), lynx(y)
1900,300268.096514745,43163.5388739947
1900.96234099031,465415.549597855,63806.9705093835
1902.00836380586,703753.351206434,101340.482573727
1903.0125457088,771313.672922252,358445.040214477
1904.01672761173,365951.742627346,591152.815013405
1905.04182997097,204557.64075067,420375.335120643
1906.02509141759,183914.209115282,195174.262734584
1907.02927332053,215817.694369973,129490.616621984
1907.99161431084,221447.721179625,88203.7533512065
1908.99579621377,253351.206434316,95710.4557640751
1910.02089857301,277747.989276139,78820.3753351207
1911.02508047594,405361.930294906,82573.7265415551
1911.98742146626,570509.383378016,127613.941018767
1913.0125238255,765683.646112601,197050.938337802
1914.01670572843,519839.142091153,457908.847184987
1914.99996717505,195174.262734584,510455.764075067
1916.00414907798,112600.53619303,300268.096514745
1917.00833098092,76943.6997319036,165147.45308311
1917.99159242754,146380.697050938,101340.482573727
1918.99577433047,163270.777479893,103217.158176944
1919.9999562334,253351.206434316,88203.7533512065

